"Año";"Periodo";"Parámetro";"Denuncias, datos acumulados"
"2018";"Trimestre 3";"Agresión sexual con penetración";"1.304"
"2018";"Trimestre 3";"Homicidios dolosos y asesinatos consumados";"228"
"2018";"Trimestre 3";"Hurtos";"530.148"
"2018";"Trimestre 3";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"112.169"
"2018";"Trimestre 3";"Robos con violencia e intimidación";"43.818"
"2018";"Trimestre 3";"Secuestro";"54"
"2018";"Trimestre 3";"Sustracciones de vehículos";"26.637"
"2018";"Trimestre 3";"Total";"1.582.832"
"2018";"Trimestre 3";"Tráfico de drogas";"10.835"
"2019";"Trimestre 3";"Agresión sexual con penetración";"1.405"
"2019";"Trimestre 3";"Homicidios dolosos y asesinatos consumados";"249"
"2019";"Trimestre 3";"Hurtos";"529.192"
"2019";"Trimestre 3";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"105.064"
"2019";"Trimestre 3";"Robos con violencia e intimidación";"48.272"
"2019";"Trimestre 3";"Secuestro";"71"
"2019";"Trimestre 3";"Sustracciones de vehículos";"26.166"
"2019";"Trimestre 3";"Total";"1.644.917"
"2019";"Trimestre 3";"Tráfico de drogas";"12.693"
"2020";"Trimestre 3";"Agresión sexual con penetración";"1.226"
"2020";"Trimestre 3";"Homicidios dolosos y asesinatos consumados";"232"
"2020";"Trimestre 3";"Hurtos";"317.531"
"2020";"Trimestre 3";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"79.880"
"2020";"Trimestre 3";"Robos con violencia e intimidación";"34.466"
"2020";"Trimestre 3";"Secuestro";"56"
"2020";"Trimestre 3";"Sustracciones de vehículos";"19.062"
"2020";"Trimestre 3";"Total";"1.310.315"
"2020";"Trimestre 3";"Tráfico de drogas";"12.652"
"2021";"Trimestre 3";"Agresión sexual con penetración";"1.599"
"2021";"Trimestre 3";"Homicidios dolosos y asesinatos consumados";"208"
"2021";"Trimestre 3";"Hurtos";"349.354"
"2021";"Trimestre 3";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"75.417"
"2021";"Trimestre 3";"Robos con violencia e intimidación";"37.299"
"2021";"Trimestre 3";"Secuestro";"72"
"2021";"Trimestre 3";"Sustracciones de vehículos";"19.034"
"2021";"Trimestre 3";"Total";"1.419.431"
"2021";"Trimestre 3";"Tráfico de drogas";"13.962"
"2022";"Trimestre 3";"Agresión sexual con penetración";"1.942"
"2022";"Trimestre 3";"Homicidios dolosos y asesinatos consumados";"237"
"2022";"Trimestre 3";"Hurtos";"477.934"
"2022";"Trimestre 3";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"88.320"
"2022";"Trimestre 3";"Robos con violencia e intimidación";"47.293"
"2022";"Trimestre 3";"Secuestro";"55"
"2022";"Trimestre 3";"Sustracciones de vehículos";"22.913"
"2022";"Trimestre 3";"Total";"1.734.625"
"2022";"Trimestre 3";"Tráfico de drogas";"14.361"
;;
;;
"Métrica":"Denuncias, datos acumulados"
"Fuente":"Ministerio del Interior"
"Clasificación":""
"Unidad":"Número de infracciones penales registradas en lo que va de año"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/cifras-crimen-espana/d46b83fd-58df-4c71-bdeb-d40691a66838"
"Titulo":"Las cifras del crimen en España"
"Subtitulo":""
